N;res_wide;res_narrow;error_wide;error_narrow
100;1,069434955049950;0,849600000000000;0,132255686837007;0,100492809783100
600;0,972213595499958;0,967200000000000;0,029323351670006;0,024015247619804
1100;0,972213595499958;0,968727272727273;0,029323351670006;0,025632235378284
1600;0,972213595499958;0,971100000000000;0,029323351670006;0,028144341360207
2100;0,935176887099959;0,964114285714286;0,009888966488852;0,020748272352673
2600;0,938560047963421;0,964800000000000;0,006307072041648;0,021474266856480
3100;0,953396558167701;0,956903225806452;0,009400964218328;0,013113620473928
3600;1,007321308670790;0,952000000000000;0,066493361591423;0,007922369452082
4100;0,995926122219469;0,949346341463415;0,054428799271713;0,005112829746292
4600;0,997575689295609;0,956660869565217;0,056175265191832;0,012857027746075
5100;0,998901811847016;0,957458823529412;0,057579286813888;0,013701855109840
5600;0,987838456856207;0,952457142857143;0,045866048393274;0,008406365787953
6100;0,980182559397499;0,951816393442623;0,037760428323039;0,007727977481117
6600;0,979578850011321;0,953454545454545;0,037121255849324;0,009462357793491
7100;0,992753319348549;0,953645070422535;0,051069619663034;0,009664074576239
7600;0,987564336481536;0,953621052631579;0,045575825643743;0,009638645932573
8100;1,008221506444400;0,954311111111111;0,067446438768895;0,010369239816765
8600;0,999345137699957;0,954418604651163;0,058048654507308;0,010483047740704
9100;0,992512560680726;0,954672527472527;0,050814718353226;0,010751886492561
9600;0,990442600415582;0,954450000000000;0,048623164513818;0,010516287314643
10100;0,993390525302927;0,953394059405941;0,051744256359848;0,009398318674343
10600;0,978633873960807;0,953252830188679;0,036120770030091;0,009248793372560
11100;0,973965331708066;0,953383783783784;0,031177988339682;0,009387439441747
11600;0,972213595499958;0,953255172413793;0,029323351670006;0,009251273184625
12100;0,981855383223925;0,954684297520661;0,039531517141113;0,010764347936682
12600;0,986102361149957;0,953371428571428;0,044027970979577;0,009374358459696
13100;0,986314403373622;0,954247328244275;0,044252468984304;0,010301710217740
13600;0,985081128381575;0,954529411764706;0,042946748971521;0,010600363884017
14100;0,988761912019106;0,954587234042553;0,046843749145240;0,010661582757226
14600;0,984865690235916;0,954443835616438;0,042718655561602;0,010509760822956
15100;0,981227496385388;0,955835761589404;0,038866746983503;0,011983451290155
15600;0,981561803148996;0,956676923076923;0,039220691589910;0,012874024272920
16100;0,975232892380393;0,956213664596273;0,032520008041652;0,012383553069679
16600;0,973384937181283;0,956385542168675;0,030563500286476;0,012565527071812
17100;0,965959589914870;0,956884210526316;0,022701973384409;0,013093488198497
17600;0,963375290086322;0,956536363636364;0,019965866654824;0,012725208091851
18100;0,961470903836975;0,955173480662983;0,017949612977520;0,011282266667675
18600;0,968032031648345;0,954812903225806;0,024896154458522;0,010900508196194
19100;0,964578410194984;0,954998952879581;0,021239660426524;0,011097486775887
19600;0,962789075951744;0,955028571428571;0,019345217138511;0,011128845177230
20100;0,958186633176824;0,953623880597015;0,014472417740439;0,009641640018312
20600;0,954751506648745;0,953475728155340;0,010835505062341;0,009484784808171
21100;0,955165300223418;0,952174407582938;0,011273605692854;0,008107022082592
21600;0,952409244480514;0,951933333333333;0,008355653765617;0,007851786653101
22100;0,951537559758556;0,951898642533937;0,007432764553042;0,007815058047296
22600;0,949413896136463;0,951037168141593;0,005184352714913;0,006902978939362
